epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,7369.08,0.72845,0.63435,1.06198,0.87183,0.80714,0.88308,0.73733,0.94518,0.55196,1.27522,0.0004952,0.0004952,0.0004952
78,7435.63,0.6797,0.56301,1.03458,0.92116,0.79222,0.8687,0.71634,0.99832,0.61521,1.35744,0.0004754,0.0004754,0.0004754
79,7485.67,0.71737,0.6003,1.05845,0.93466,0.72736,0.86743,0.70212,1.00693,0.5957,1.32753,0.0004556,0.0004556,0.0004556
80,7547.7,0.70812,0.58724,1.04868,0.84203,0.81311,0.86958,0.72439,0.94643,0.60149,1.26909,0.0004358,0.0004358,0.0004358
81,7610.19,0.70221,0.57046,1.05448,0.92123,0.76271,0.87219,0.72758,0.95796,0.59013,1.27364,0.000416,0.000416,0.000416
82,7688.18,0.68383,0.55624,1.03658,0.83846,0.84746,0.90011,0.71507,0.98982,0.59804,1.29789,0.0003962,0.0003962,0.0003962
83,7738.97,0.69833,0.57783,1.0357,0.91724,0.79661,0.87855,0.72376,0.954,0.61817,1.28971,0.0003764,0.0003764,0.0003764
84,7787.86,0.69382,0.56574,1.04532,0.86377,0.84746,0.90561,0.73759,0.97852,0.57465,1.30186,0.0003566,0.0003566,0.0003566
85,7857.51,0.66164,0.54586,1.02589,0.93431,0.79661,0.88263,0.7243,0.91423,0.55809,1.26313,0.0003368,0.0003368,0.0003368
86,7923.75,0.66359,0.53421,1.0257,0.97147,0.71186,0.89201,0.71812,0.93945,0.64175,1.2521,0.000317,0.000317,0.000317
87,7983.24,0.6655,0.53569,1.02346,0.87498,0.79661,0.89609,0.72888,0.94716,0.56802,1.27748,0.0002972,0.0002972,0.0002972
88,8046.67,0.65318,0.51955,1.02109,0.79869,0.88136,0.89456,0.7248,0.97717,0.68425,1.30307,0.0002774,0.0002774,0.0002774
89,8108.9,0.64075,0.50741,1.00919,0.93984,0.79436,0.89973,0.71658,0.99582,0.61134,1.32929,0.0002576,0.0002576,0.0002576
90,8159.65,0.62657,0.51514,1.01239,0.84317,0.81356,0.88077,0.732,0.95317,0.61484,1.28207,0.0002378,0.0002378,0.0002378
91,8290.33,0.59884,0.40849,0.99921,0.92473,0.83298,0.9182,0.72184,0.98257,0.56028,1.30995,0.000218,0.000218,0.000218
92,8424.43,0.56121,0.36787,0.95466,0.85961,0.88136,0.91977,0.73799,0.94625,0.51395,1.27866,0.0001982,0.0001982,0.0001982
93,8555.97,0.55925,0.3645,0.95997,0.92542,0.84133,0.90753,0.72719,0.95326,0.57278,1.29517,0.0001784,0.0001784,0.0001784
94,8688.06,0.52896,0.33751,0.93544,0.89052,0.82721,0.90265,0.73399,0.94759,0.54466,1.27057,0.0001586,0.0001586,0.0001586
95,8812.68,0.53374,0.36827,0.9436,0.93125,0.77966,0.8969,0.7433,0.91082,0.54083,1.26829,0.0001388,0.0001388,0.0001388
96,8858.58,0.53616,0.33771,0.94569,0.8907,0.81356,0.90703,0.75439,0.91398,0.52859,1.25605,0.000119,0.000119,0.000119
97,8948.1,0.50496,0.33362,0.92509,0.94121,0.81408,0.91714,0.75515,0.93313,0.51148,1.28166,9.92e-05,9.92e-05,9.92e-05
98,9002.5,0.50093,0.31756,0.92276,0.9225,0.77966,0.90693,0.73911,0.96808,0.52302,1.3074,7.94e-05,7.94e-05,7.94e-05
99,9052.23,0.50174,0.31764,0.92317,0.97955,0.81182,0.90587,0.75011,0.94391,0.54486,1.28377,5.96e-05,5.96e-05,5.96e-05
100,9108.46,0.49694,0.34934,0.92279,0.95988,0.81106,0.90814,0.74951,0.93947,0.50936,1.27757,3.98e-05,3.98e-05,3.98e-05
