epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,17588.5,0.41201,0.58291,0.27004,0.8945,0.98269,1,0.99172,0.98738,0.98269,1,0.99172,0.98822,0.21572,0.29337,0.17791,0.77419,0.0014456,0.0014456,0.0014456
58,17983.8,0.39589,0.55724,0.25953,0.89023,0.98229,1,0.98762,0.97791,0.98229,1,0.98762,0.98453,0.21013,0.30138,0.19958,0.77566,0.0014357,0.0014357,0.0014357
59,18287.9,0.40472,0.59946,0.27136,0.89371,0.98235,1,0.99287,0.98422,0.98235,1,0.99287,0.98783,0.20489,0.30532,0.21418,0.77451,0.0014258,0.0014258,0.0014258
60,18611.4,0.40544,0.58524,0.26865,0.89144,0.98261,1,0.98844,0.98117,0.98261,1,0.98844,0.98476,0.21556,0.27994,0.20475,0.77656,0.0014159,0.0014159,0.0014159
61,18879.8,0.38387,0.57117,0.25998,0.88692,0.98232,1,0.99254,0.98784,0.98232,1,0.99254,0.98981,0.19238,0.29678,0.18305,0.77007,0.001406,0.001406,0.001406
62,19212.3,0.3985,0.57509,0.26255,0.88389,0.9825,1,0.9909,0.98913,0.9825,1,0.9909,0.98241,0.20516,0.29647,0.18244,0.77187,0.0013961,0.0013961,0.0013961
63,19484.1,0.38416,0.56777,0.25398,0.88449,0.98271,1,0.9827,0.97849,0.98271,1,0.9827,0.97613,0.20649,0.29098,0.18281,0.77824,0.0013862,0.0013862,0.0013862
64,19831.3,0.39199,0.56825,0.27435,0.88428,0.96754,1,0.98959,0.98571,0.96754,1,0.98959,0.98328,0.22193,0.29827,0.21263,0.78048,0.0013763,0.0013763,0.0013763
65,20170.4,0.39939,0.58899,0.26398,0.89152,0.96448,1,0.99287,0.98261,0.96448,1,0.99287,0.98651,0.21464,0.29555,0.23529,0.77557,0.0013664,0.0013664,0.0013664
66,20549.4,0.38322,0.58381,0.2539,0.88773,0.9804,1,0.99041,0.98647,0.9804,1,0.99041,0.98001,0.19266,0.30607,0.19424,0.77346,0.0013565,0.0013565,0.0013565
67,20826.3,0.38425,0.55267,0.25438,0.88366,0.98263,1,0.9891,0.9846,0.98263,1,0.9891,0.98407,0.21673,0.28486,0.18478,0.78003,0.0013466,0.0013466,0.0013466
68,21102.9,0.38548,0.564,0.26224,0.88684,0.98256,1,0.99287,0.99009,0.98256,1,0.99287,0.98474,0.19865,0.28414,0.19466,0.77317,0.0013367,0.0013367,0.0013367
69,21387.6,0.38869,0.55433,0.25275,0.88942,0.9823,1,0.99041,0.98935,0.9823,1,0.99041,0.98584,0.2274,0.31713,0.1828,0.78009,0.0013268,0.0013268,0.0013268
70,21731.9,0.37772,0.55969,0.24894,0.87904,0.98237,1,0.99336,0.98779,0.98237,1,0.99336,0.98809,0.21797,0.27151,0.21245,0.77768,0.0013169,0.0013169,0.0013169
71,21997.2,0.37933,0.54578,0.24969,0.88069,0.98269,1,0.99123,0.9885,0.98269,1,0.99123,0.98196,0.20204,0.30519,0.17836,0.77362,0.001307,0.001307,0.001307
72,22291.1,0.38682,0.5706,0.25636,0.88503,0.98249,1,0.99287,0.99103,0.98249,1,0.99287,0.99041,0.19708,0.29019,0.18346,0.78011,0.0012971,0.0012971,0.0012971
73,22572.5,0.38011,0.55288,0.25801,0.88098,0.98139,1,0.99287,0.98866,0.98139,1,0.99287,0.98795,0.19867,0.28362,0.20216,0.77675,0.0012872,0.0012872,0.0012872
74,23007.7,0.37191,0.54754,0.24106,0.87585,0.98262,1,0.99254,0.98808,0.98262,1,0.99254,0.97962,0.20251,0.2926,0.17889,0.77221,0.0012773,0.0012773,0.0012773
